EudraCT Number:,Sponsor Protocol Number:,Sponsor Name:,Full Title:,Start Date:,Medical condition:,Disease 1:,Population Age:,Gender:,Trial protocol:,Link:,Disease:,Disease 2:,Disease 3:,Disease 4:,<FONT FACE=Helvetica><BR,<HTML>,<HEAD>,<TITLE>Error 500--Interna,</HEAD>,"<BODY bgcolor=""white"">",<TABLE border=0 cellspaci,"<FONT FACE=""Helvetica"" CO",</FONT></TD></TR>,</TABLE>,<TABLE border=0 width=100,"</FONT><FONT FACE=""Helvet","</FONT><P><FONT FACE=""Cou",</BODY>,</HTML>,
2020-002632-75,CLI-050000-04,CHIESI FARMACEUTICI S.p.A,"Multicenter, open-label, randomised trial to assess the efficacy and tolerability of poractant alfa (porcine surfactant, Curosurf®) in hospitalized patients with SARS-COV-19 acute respiratory distr...",2020-07-08,patients with SARS-COV-19 acute respiratory distress syndrome (ARDS),,"Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) IT(Prematurely Ended) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002632-75,,,,,,,,,,,,,,,,,,,,
2020-001498-63,BIO101-CL05,Biophytis S.A.,"Adaptive design phase 2 to 3, randomized, double- blind, multicenter, to evaluate the safety, efficacy, pharmacokinetics and pharmacodynamics of BIO101 in the prevention of the respiratory deterior...",2020-07-22,Confirmed infection with SARS-CoV-2 (COVID-19),"Version: 20.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10047465, Term: Viral infections NEC, Level: HLT","Adults, Elderly","Male, Female",FR(Completed) BE(Completed) GB(GB - no longer in EU/EEA) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001498-63,,"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10084268, Term: COVID-19, Level: PT",,,,,,,,,,,,,,,,,,
2020-001154-22,WA42380,F. Hoffmann-La Roche Ltd,"A RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, MULTICENTER STUDY TO EVALUATE THE SAFETY AND EFFICACY OF TOCILIZUMAB IN PATIENTS WITH SEVERE COVID-19 PNEUMONIA.",2020-04-06,Severe COVID-19 pneumonia,"Version: 21.1, SOC Term: 10021881 - Infections and infestations, Classification Code: 10035737, Term: Pneumonia viral, Level: PT","Adults, Elderly","Male, Female",DK(Completed) DE(Completed) FR(Completed) NL(Completed) GB(GB - no longer in EU/EEA) IT(Completed) ES(Completed) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001154-22,,,,,,,,,,,,,,,,,,,,
2018-002069-21,D5180C00013,AstraZeneca AB,"A Phase 2, Randomized, Double-blind, Parallel Group, Placebo Controlled Study to Evaluate the Effect of Tezepelumab on Airway Inflammation in Adults with Inadequately Controlled Asthma on Inhaled C...",2018-10-23,Severe Asthma,"Version: 20.0, SOC Term: 10038738 - Respiratory, thoracic and mediastinal disorders, Classification Code: 10003553, Term: Asthma, Level: PT","Adults, Elderly","Male, Female",DK(Completed) GB(GB - no longer in EU/EEA) DE(Completed) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2018-002069-21,,,,,,,,,,,,,,,,,,,,
2020-001411-25,XPORT-COV-1001,Karyopharm Therapeutics Inc.,A Phase 2 Randomized Single-Blind Study to Evaluate the Activity and Safety of Low Dose Oral Selinexor (KPT-330) in Patients with Severe COVID-19 Infection,2020-05-18,Severe COVID-19 Infection,"Version: 20.0, SOC Term: 100000004862, Classification Code: 10051905, Term: Coronavirus infection, Level: LLT","Adults, Elderly","Male, Female",DE(Completed) FR(Completed) AT(Completed) GB(GB - no longer in EU/EEA) ES(Temporarily Halted) IT(Prematurely Ended) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001411-25,,,,,,,,,,,,,,,,,,,,
2020-003278-37,INSIGHT-014-ACTIV-3,Regents of the University of Minesota,"A Multicenter, Adaptive, Randomized, Blinded Controlled Trial of the Safety and Efficacy of Investigational Therapeutics for Hospitalized Patients with COVID-19 ",2020-09-04,"Subjects infected with SARS-CoV-2, admitted to the hospital due to COVID-19.","Version: 23.1, SOC Term: 10042613 - Surgical and medical procedures, Classification Code: 10084460, Term: COVID-19 treatment, Level: PT","Adults, Elderly","Male, Female",DK(Temporarily Halted) GB(GB - no longer in EU/EEA) SE(Prematurely Ended) PL(Ongoing) GR(Ongoing) IT(Ongoing) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-003278-37,,"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10084268, Term: COVID-19, Level: PT",,,,,,,,,,,,,,,,,,
2020-000842-32,GS-US-540-5774,"Gilead Sciences, Inc.",A Phase 3 Randomized Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants with Moderate  COVID-19 Compared to Standard of Care Treatment,2020-03-18,Coronavirus disease 2019 (COVID-19),"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10051905, Term: Coronavirus infection, Level: PT","Adolescents, Under 18, Adults, Elderly","Male, Female",DE(Completed) ES(Completed) FR(Completed) IT(Completed) NL(Completed) GB(Completed) SE(Completed) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-000842-32,,,,,,,,,,,,,,,,,,,,
2020-002979-35,209348,GlaxoSmithKline Research & Development Limited,"A Phase IIb Multi-Center, Randomised, Open Label Study to Assess the Efficacy and Safety of Sequential Treatment with GSK3228836 followed by Pegylated Interferon Alpha 2a in Participants with Chron...",2020-12-22,Chronic Hepatitis B,"Version: 20.1, SOC Term: 10021881 - Infections and infestations, Classification Code: 10008910, Term: Chronic hepatitis B, Level: PT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) PL(Ongoing) IT(Ongoing) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002979-35,,,,,,,,,,,,,,,,,,,,
2020-000841-15,GS-US-540-5773,"Gilead Sciences, Inc.",A Phase 3 Randomized Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants with Severe COVID-19,2020-03-18,Coronavirus disease 2019 (COVID-19),"Version: 20.0, SOC Term: 100000004862, Classification Code: 10051905, Term: Coronavirus infection, Level: LLT","Adolescents, Under 18, Adults, Elderly","Male, Female",DE(Completed) ES(Completed) FR(Completed) IT(Completed) NL(Completed) GB(Completed) SE(Completed) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-000841-15,,,,,,,,,,,,,,,,,,,,
2020-004743-83,SG018,Synairgen Research Limited,"A randomised, double-blind, placebo-controlled, Phase III trial to determine the efficacy and safety of inhaled SNG001 for the treatment of patients hospitalised due to moderate COVID-19",2020-11-09,COVID-19,"Version: 23.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10051905, Term: Coronavirus infection, Level: PT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA) BE(Completed) PT(Completed) FR(Completed) NL(Completed) IT(Completed) DE(Completed) RO(Completed) ES(Ongoing) ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-004743-83,,,,,,,,,,,,,,,,,,,,
2020-001673-75,ABX464-401,ABIVAX,"A phase 2/3, randomized, double blind, placebo-controlled study to evaluate the efficacy and the safety of ABX464 in treating inflammation and preventing COVID-19 associated acute respiratory failu...",2020-05-06,COVID-19 infection (infection with SARS-CoV-2 virus),,"Adults, Elderly","Male, Female",FR(Prematurely Ended) DE(Completed) GB(GB - no longer in EU/EEA) ES(Prematurely Ended) BE(Prematurely Ended) IT(Prematurely Ended) ,"https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001673-75<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Draft//EN"">",,,,,CLEAR=all>,,,l Server Error</TITLE>,,,ng=5><TR><TD><BR CLEAR=all>,"LOR=""black"" SIZE=""3""><H2>Error 500--Internal Server Error</H2>",,,"% cellpadding=10><TR><TD VALIGN=top WIDTH=100% BGCOLOR=white><FONT FACE=""Courier New""><FONT FACE=""Helvetica"" SIZE=""3""><H3>From RFC 2068 <i>Hypertext Transfer Protocol -- HTTP/1.1</i>:</H3>","ica"" SIZE=""3""><H4>10.5.1 500 Internal Server Error</H4>","rier New"">The server encountered an unexpected condition which prevented it from fulfilling the request.</FONT></P>",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
